PWN,ILI,POS,Tree File,Gap,DeepL Direct,DeepL Contextualized,Translated Wordnet,Lemmas,Translated Wordnet Gloss,Gloss,Hypernyms,Hyponyms
omw-en31-00927021-n,i40270,n,omw-en31-00926639-n,formation,формування,формування,формування,"formation, shaping",акт виготовлення чогось у певній формі,the act of fabricating something in a particular shape,"fabrication, manufacture, manufacturing","filing; forging; metalworking, metalwork; granulation; grooving, rifling; turning"
omw-en31-09720544-n,i87639,n,omw-en31-09720360-n,English person,англійська людина,Англієць,"Англійська особа, Англійська людина",English person,уродженець або житель Англії,a native or inhabitant of England,"Britisher, Briton, Brit","Englishman; Englishwoman; Anglo-Saxon; Anglo-Saxon; Anglo-Indian; pommy, pom; Cantabrigian; Lancastrian; Lancastrian; Geordie; Hanoverian; Liverpudlian, Scouser; Londoner; Mancunian; Oxonian; Brummie, Brummy; Mackem; Sassenach; Tyke"
omw-en31-09720999-n,i87640,n,omw-en31-09720360-n,Englishman,Англієць,Англієць,Англієць,Englishman,"людина, корінна або жителька Англії",a man who is a native or inhabitant of England,English person,"limey, John Bull; Cornishman; burgess, burgher; Jacobean; Tory; Whig"
omw-en31-05275047-n,i64647,n,omw-en31-05274844-n,animal tissue,тваринні тканини,тваринна тканина,"тканина тварин, Тканина тварини",animal tissue,тканина в тілах тварин,the tissue in the bodies of animals,tissue,"chalaza; embryonic tissue; coronet; epithelium, epithelial tissue; flesh; capillary bed; parenchyma; interstitial tissue; adipose tissue, fat, fatty tissue; connective tissue; lymphatic tissue, lymphoid tissue; cartilage, gristle; erectile tissue; muscle, muscular tissue; fibrous tissue; nervous tissue, nerve tissue; gingiva, gum; lens cortex, cortex; flap; membrane, tissue layer; cortex; medulla; matrix; graft, transplant; stroma"
omw-en31-05433820-n,i65468,n,omw-en31-05274844-n,membrane,мембрани,Мембрана,"тканинний шар, мембрана","membrane, tissue layer","гнучкий аркуш тканини, що покриває або вирівнює або з'єднує органи або клітини тварин або рослин",a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants,animal tissue,"trophoblast; chorioallantois, chorioallantoic membrane; web; Bowman's capsule, glomerular capsule, capsula glomeruli; axolemma; basilar membrane; fetal membrane; choroid, choroid coat; ciliary body; cornea; diaphragm, midriff; eardrum, tympanum, tympanic membrane, myringa; endocranium; endosteum; ependyma; fertilization membrane; hyaloid membrane, hyaloid; intima; iris; lamella; meninx, meninges; mucous membrane, mucosa; periosteum; perithelium; retina; sarcolemma; semipermeable membrane; serous membrane, serosa; synovial membrane, synovium; tunic, tunica, adventitia"
omw-en31-05613699-n,i66369,n,omw-en31-05274844-n,serous membrane,серозна оболонка,серозна оболонка,"сероза, серозна оболонка, серозна мембрана","serous membrane, serosa","тонка мембрана, що вистовує закриті порожнини тіла",a thin membrane lining the closed cavities of the body; has two layers with a space between that is filled with serous fluid,"membrane, tissue layer","pleura; peritoneum; endocardium; pericardium; epicardium, visceral pericardium; parietal pericardium"
omw-en31-01719657-n,i44335,n,omw-en31-01664459-n,maniraptor,маніраптор,маніраптор,Маніраптор,maniraptor,просунутий м'ясоїдний теропод,advanced carnivorous theropod,"theropod, theropod dinosaur, bird-footed dinosaur","oviraptorid; velociraptor; dromaeosaur; deinonychus; utahraptor, superslasher; Mononychus olecranus"
omw-en31-07718922-n,i77478,n,omw-en31-07718541-n,hot cereal,гаряча каша,гаряча каша,"гаряча каша, гаряча крупа",hot cereal,"каша, яка подається гарячою",a cereal that is served hot,cereal,"mush, cornmeal mush; grits, hominy grits; kasha; frumenty"
omw-en31-07719078-n,i77479,n,omw-en31-07718541-n,mush,каша,каша,"каша, кукурудзяна каша, кашина, кашенка","mush, cornmeal mush",кукурудзяна мука кип'ятить у воді,cornmeal boiled in water,hot cereal,atole; hasty pudding; polenta
omw-en31-00394177-n,i37474,n,omw-en31-01026334-n,ablation,абляція,абляція,"вирізання, висічення, абляція, екстирпація","ablation, extirpation, cutting out, excision",хірургічне видалення частини тіла або тканини,surgical removal of a body part or tissue,"operation, surgery, surgical operation, surgical procedure, surgical process","adenoidectomy; adrenalectomy, suprarenalectomy; appendectomy, appendicectomy; cholecystectomy; clitoridectomy, female circumcision; embolectomy; endarterectomy; enervation; hypophysectomy; hysterectomy; laminectomy; laryngectomy; lithotomy; lobectomy; lumpectomy; mastectomy; mastoidectomy; meniscectomy; nephrectomy; neurectomy; oophorectomy, ovariectomy; oophorosalpingectomy; ophthalmectomy; orchidectomy, orchiectomy; pancreatectomy; pneumonectomy; prostatectomy; salpingectomy; septectomy; sigmoidectomy; splenectomy; stapedectomy; sympathectomy; thrombectomy; thyroidectomy; tonsillectomy; vasectomy; vulvectomy"
omw-en31-05863690-n,i67640,n,omw-en31-05844071-n,quantity,кількість,Кількість,кількість,quantity,"концепція того, що щось має величину і може бути представлено у математичних виразах константою або змінною",the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable,"concept, conception, construct","quantum; term; numerical quantity; operand; variable, variable quantity; constant, constant quantity, invariable; parameter; product, mathematical product; sum, amount, total; proportional; binomial"
omw-en31-05866043-n,i67652,n,omw-en31-05844071-n,variable,змінна,змінна,"змінна, змінна кількість, величина змінної","variable, variable quantity","величина, яка може приймати будь-яке з набору значень",a quantity that can assume any of a set of values,quantity,"argument; independent variable, experimental variable; correlate, correlative; degree of freedom; dependent variable; predictor variable; infinitesimal; random variable, variate, variant, stochastic variable, chance variable; scalar; tensor; vector"
omw-en31-05873161-n,i67696,n,omw-en31-05844071-n,vector,вектор,вектор,вектор,vector,"змінна величина, яку можна вирішити на компоненти",a variable quantity that can be resolved into components,"variable, variable quantity","vector product, cross product; vector sum, resultant; radius vector; radius vector"
omw-en31-10494535-n,i92251,n,omw-en31-09657157-n,principal,головний,Замовник,принципал,principal,"(кримінальне право) будь -яка особа, причетна до кримінального правопорушення, незалежно від того, чи виграє особа від такої причетності","(criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement","wrongdoer, offender","criminal, felon, crook, outlaw, malefactor"
omw-en31-10358420-n,i91503,n,omw-en31-09657157-n,murderer,вбивця,вбивця,вбивця,"murderer, liquidator, manslayer","злочинець, який здійснює вбивство (який здійснює незаконне умисне вбивство іншої людини)",a criminal who commits homicide (who performs the unlawful premeditated killing of another human being),"criminal, felon, crook, outlaw, malefactor; killer, slayer","assassin, assassinator, bravo; butcher; cutthroat; fratricide; gunman, gunslinger, hired gun, gun, gun for hire, triggerman, hit man, hitman, torpedo, shooter; hatchet man, iceman; infanticide; mass murderer; murderess; parricide; ripper; serial killer, serial murderer; Jack the Ripper"
omw-en31-09833101-n,i88322,n,omw-en31-09657157-n,assassin,вбивця,ассасін,nan,"assassin, assassinator, bravo","злочинець, який здійснює вбивство (який здійснює незаконне умисне вбивство іншої людини)",a murderer (especially one who kills a prominent political figure) who kills by a surprise attack and often is hired to do the deed,"murderer, liquidator, manslayer","Booth, John Wilkes Booth; Oswald, Lee Harvey Oswald"
omw-en31-04302219-n,i59432,n,omw-en31-03435869-n,stable gear,стабільна передача,стайня,nan,"stable gear, saddlery, tack","гра на свіжому повітрі, у яку грають на полі заданих розмірів",gear for a horse,"gear, paraphernalia, appurtenance","bit; caparison, trapping, housing; cinch, girth; hame; harness; headgear; martingale; saddle blanket, saddlecloth, horse blanket; yoke"
omw-en31-02958976-n,i51477,n,omw-en31-03435869-n,caparison,Капарізон,капаризон,"корпус, пастка, капарізон, капарісон, трепінг","caparison, trapping, housing","стійке спорядження, що складається з декорованого покриття для коня, особливо (раніше) для бойового коня","stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse","stable gear, saddlery, tack",bard; horsecloth
omw-en31-02889840-n,i51054,n,omw-en31-04343172-n,brace,скоба,розпірка,"кріплення, дужка, скоба","brace, bracing","структурний елемент, що використовується для жорсткості каркаса",a structural member used to stiffen a framework,"structural member; strengthener, reinforcement","crosspiece; gusset, gusset plate; guy, guy cable, guy wire, guy rope; stay; stringer; strut; tie, railroad tie, crosstie, sleeper"
omw-en31-03142230-n,i52541,n,omw-en31-04343172-n,crosspiece,перемичка,хрестовина,хрестовина,crosspiece,поперечна дужка,a transverse brace,"brace, bracing","crossbar; rundle, spoke, rung; rung, round, stave; thwart, cross thwart; transom, traverse"
omw-en31-08673095-n,i82455,n,omw-en31-08671935-n,American state,Американський штат,Американський штат,"американський штат, Американська держава",American state,один з 50 штатів США,one of the 50 states of the United States,"state, province","slave state; free state; Alabama, Heart of Dixie, Camellia State, AL, Ala.; Alaska, Last Frontier, AK; Arizona, Grand Canyon State, AZ; Arkansas, Land of Opportunity, AR, Ark.; California, Golden State, CA, Calif.; Colorado, Centennial State, CO, Colo.; Connecticut, Nutmeg State, Constitution State, CT, Ct.; Delaware, Diamond State, First State, DE, Del.; Florida, Sunshine State, Everglade State, FL, Fla.; Georgia, Empire State of the South, Peach State, GA, Ga.; Hawaii, Hawai'i, Aloha State, HI, Haw.; Idaho, Gem State, ID, Id.; Illinois, Prairie State, Land of Lincoln, IL, Ill.; Indiana, Hoosier State, IN, Ind.; Iowa, Hawkeye State, IA, Ia.; Kansas, Sunflower State, KS, Kan.; Kentucky, Bluegrass State, KY, Ken.; Louisiana, Pelican State, LA, La.; Maine, Pine Tree State, ME, Me.; Maryland, Old Line State, Free State, MD, Md.; Massachusetts, Bay State, Old Colony, MA, Mass.; Michigan, Wolverine State, Great Lakes State, MI, Mich.; Minnesota, Gopher State, North Star State, MN, Minn.; Mississippi, Magnolia State, MS, Miss.; Missouri, Show Me State, MO, Mo.; Montana, Treasure State, MT, Mont.; Nebraska, Cornhusker State, NE, Neb.; Nevada, Silver State, Battle Born State, Sagebrush State, NV, Nev.; New Hampshire, Granite State, NH, N.H.; New Jersey, Jersey, Garden State, NJ, N.J.; New Mexico, Land of Enchantment, NM, N.M.; New York, New York State, Empire State, NY, N.Y.; North Carolina, Old North State, Tar Heel State, NC, N.C.; North Dakota, Peace Garden State, ND, N.D.; Ohio, Buckeye State, OH; Oklahoma, Sooner State, OK, Okla.; Oregon, Beaver State, OR, Ore.; Pennsylvania, Keystone State, PA, Pa.; Rhode Island, Little Rhody, Ocean State, RI, R.I.; South Carolina, Palmetto State, SC, S.C.; South Dakota, Coyote State, Mount Rushmore State, SD, S.D.; Tennessee, Volunteer State, TN, Tenn.; Texas, Lone-Star State, TX, Tex.; Utah, Beehive State, Mormon State, UT, Ut.; Vermont, Green Mountain State, VT, Vt.; Virginia, Old Dominion, Old Dominion State, VA, Va.; Washington, Evergreen State, WA, Wash.; West Virginia, Mountain State, WV, W.V.; Wisconsin, Badger State, WI, Wis., Wisc.; Wyoming, Equality State, WY, Wyo."
omw-en31-14761151-n,i114439,n,omw-en31-14752903-n,simple protein,простий білок,простий білок,простий білок,simple protein,"білок, який дає тільки амінокислоти при гідролізі",a protein that yields only amino acids when hydrolyzed,protein,"actin; albumin, albumen; globulin; globin, hematohiston, haematohiston; glutelin; histone; prolamine; protamine; scleroprotein, albuminoid"
omw-en31-15046738-n,i116104,n,omw-en31-14752903-n,globulin,глобулін,глобулін,Глобулін,globulin,"сімейство білків, що містяться в крові і молоці і м'язах і в рослинному насінні",a family of proteins found in blood and milk and muscle and in plant seed,simple protein,"alpha globulin; serum globulin; gamma globulin, human gamma globulin; myosin; transferrin, beta globulin, siderophilin"
omw-en31-13911184-n,i109920,n,omw-en31-13910202-n,angular distance,кутова відстань,кутова відстань,Кутова відстань,angular distance,"кутове віддалення між двома об'єктами, яке сприймається спостерігачем",the angular separation between two objects as perceived by an observer,angle,"latitude; longitude; declination, celestial latitude, dec; right ascension, RA, celestial longitude; hour angle, HA; true anomaly"
omw-en31-00521313-n,i38123,n,omw-en31-00430033-n,show,шоу,шоу,шоу,show,акт публічного показу чи розваги,the act of publicly exhibiting or entertaining,"entertainment, amusement","carnival, fair, funfair; dog show; horseshow; raree-show; circus; cabaret, floorshow, floor show; ice show; interlude, intermezzo, entr'acte; display, exhibit, showing; presentation, presentment, demonstration; demonstration; road show; sideshow; Wild West Show, Buffalo Bill's Wild West Show"
omw-en31-00522618-n,i38130,n,omw-en31-00430033-n,presentation,презентація,презентація,"презентація, демонстрація","presentation, presentment, demonstration",шоу або дисплей,a show or display; the act of presenting something to sight or view,show,exhibition; exposure; performance; lecture demonstration; counterdemonstration
omw-en31-00551808-n,i38285,n,omw-en31-00430033-n,performance,продуктивність,вистава,"вистава, спектакль",performance,акт представлення п'єси або музичного твору або інших розваг,the act of presenting a play or a piece of music or other entertainment,"presentation, presentment, demonstration","dramatic production, dramatic performance; encore; extemporization, extemporisation, improvisation; juggle, juggling; magic trick, conjuring trick, trick, magic, legerdemain, conjuration, thaumaturgy, illusion, deception; musical performance; one-night stand; rendition, rendering, interpretation; swan song, last hurrah; program, programme"
omw-en31-00101073-n,i35930,n,omw-en31-00430033-n,musical performance,музичний перформанс,музичне виконання,"музична вистава, музичне виконання",musical performance,акт виконання музики,the act of performing music,performance; performing arts,"playing; jam session; singing, vocalizing"
omw-en31-00546538-n,i38257,n,omw-en31-00430033-n,singing,співаючи,спів,"вокалізація, спів","singing, vocalizing",акт співу вокальної музики,the act of singing vocal music,vocal music; musical performance,"a cappella singing, a capella singing; bel canto; coloratura; caroling; crooning; crooning; scat, scat singing; harmonization, harmonisation; humming; intonation, chanting; intonation; karaoke; part-singing; psalmody, hymnody; singalong, singsong; solfege, solfeggio; solmization, solfege, solfeggio; yodeling"
omw-en31-03869443-n,i56831,n,omw-en31-03423924-n,overgarment,одяг,верхній одяг,"верхній одяг, перенаправа, переплата","overgarment, outer garment","одяг, який надягають поверх іншого одягу",a garment worn over other garments,garment,aba; cloak; coat; frock; izar; snowsuit
omw-en31-03049322-n,i52019,n,omw-en31-03423924-n,cloak,плащ,плащ,Плащ,cloak,вільний верхній одяг,a loose outer garment,"overgarment, outer garment","burnous, burnoose, burnouse; caftan, kaftan; cape, mantle; capote, hooded cloak; capuchin; cope; dolman; domino; jellaba; opera cloak, opera hood; pallium; poncho; shawl; toga; tunic; wrap, wrapper"
omw-en31-02959203-n,i51478,n,omw-en31-03423924-n,cape,накидка,накидка,"мантія, накидка","cape, mantle","одяг без рукавів, схожий на плащ, але коротший",a sleeveless garment like a cloak but shorter,cloak,"chlamys; mantelet, mantilla; pelisse; tippet"
omw-en31-07708359-n,i77403,n,omw-en31-07696677-n,sweet roll,солодкий рулет,солодкий рулет,"кавовий рулет, солодкий рулет","sweet roll, coffee roll","будь-який із численних солодких булочок, вирощених на дріжджах, без родзинок, горіхів, спецій або глазурі",any of numerous yeast-raised sweet rolls with our without raisins or nuts or spices or a glaze,"bun, roll","cross bun, hot cross bun; bear claw, bear paw; cinnamon roll, cinnamon bun, cinnamon snail; honey bun, sticky bun, caramel bun, schnecken; pinwheel roll; danish, danish pastry"
omw-en31-14878134-n,i115114,n,omw-en31-14880414-n,body waste,відходи життєдіяльності,відходи життєдіяльності організму,"екскременти, відходи організму, екскреція","body waste, excretion, excreta, excrement, excretory product","відходи, що виводяться з організму (у вигляді сечі або поту, але особливо калу)",waste matter (as urine or sweat but especially feces) discharged from the body,"waste, waste material, waste matter, waste product","fecal matter, faecal matter, feces, faeces, BM, stool, ordure, dejection; fecula; wormcast; human waste; urine, piss, pee, piddle, weewee, water; vomit, vomitus, puke, barf; guano"
omw-en31-14878998-n,i115118,n,omw-en31-14880414-n,droppings,екскременти,послід,гидотою,"droppings, dung, muck",фекалії тварин,fecal matter of animals,"fecal matter, faecal matter, feces, faeces, BM, stool, ordure, dejection","chip, cow chip, cow dung, buffalo chip; coprolite; pigeon droppings; cow pie, cowpie"
omw-en31-07721456-n,i77499,n,omw-en31-07571428-n,produce,виробляти,продукція,"зелені продукти, садова вантажівка","produce, green goods, green groceries, garden truck","свіжі фрукти та овочі, вирощені для ринку",fresh fruits and vegetable grown for the market,"food, solid food","edible fruit; vegetable, veggie, veg; eater"
omw-en31-07721676-n,i77500,n,omw-en31-07571428-n,edible fruit,їстівні фрукти,їстівний плід,"їстівні плоди, їстівний плід",edible fruit,"їстівне репродуктивне тіло насіннєвої рослини, особливо тієї, що має солодку м'якоть",edible reproductive body of a seed plant especially one having sweet flesh,"produce, green goods, green groceries, garden truck; fruit","freestone; cling, clingstone; windfall; apple; berry; lanseh, lansa, lansat, lanset; carambola, star fruit; ceriman, monstera; carissa plum, natal plum; citrus, citrus fruit, citrous fruit; tangelo, ugli, ugli fruit; apricot; peach; nectarine; pitahaya; plum; dried fruit; fig; pineapple, ananas; anchovy pear, river pear; banana; passion fruit; breadfruit; jackfruit, jak, jack; canistel, eggfruit; melon; cherry; cocoa plum, coco plum, icaco; grape; custard apple; papaw, pawpaw; papaya; kai apple; ketembilla, kitembilla, kitambilla; ackee, akee; durian; feijoa, pineapple guava; genip, Spanish lime; genipap, genipap fruit; kiwi, kiwi fruit, Chinese gooseberry; loquat, Japanese plum; mangosteen; mango; sapodilla, sapodilla plum, sapota; sapote, mammee, marmalade plum; tamarind, tamarindo; avocado, alligator pear, avocado pear, aguacate; date; elderberry; guava; mombin; hog plum, yellow mombin; hog plum, wild plum; jaboticaba; jujube, Chinese date, Chinese jujube; litchi, litchi nut, litchee, lichi, leechee, lichee, lychee; longanberry, dragon's eye; mamey, mammee, mammee apple; marang; medlar; medlar; pear; plumcot; pomegranate; prickly pear; garambulla; Barbados gooseberry, blade apple; quandong, quandang, quantong, native peach; quince; rambutan, rambotan; pulasan, pulassan; rose apple; sorb, sorb apple; sour gourd; sour gourd, monkey bread"
omw-en31-07758680-n,i77735,n,omw-en31-07571428-n,berry,ягода,ягода,Ягода,berry,будь -який з численних дрібних і м’якоть їстівних плодів,any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves,edible fruit,"bilberry, whortleberry, European blueberry; huckleberry; blueberry; wintergreen, boxberry, checkerberry, teaberry, spiceberry; cranberry; lingonberry, mountain cranberry, cowberry, lowbush cranberry; currant; blackberry; boysenberry; dewberry; loganberry; raspberry; saskatoon, serviceberry, shadberry, juneberry; strawberry; sugarberry, hackberry; persimmon; acerola, barbados cherry, surinam cherry, West Indian cherry; mulberry"
omw-en31-03277294-n,i53344,n,omw-en31-03641539-n,electric lamp,електрична лампа,електрична лампа,електрична лампа,electric lamp,"лампа, що живиться від електрики",a lamp powered by electricity,lamp,"arc lamp, arc light; electric-discharge lamp, gas-discharge lamp; flashlight, torch; light bulb, lightbulb, bulb, incandescent lamp, electric light, electric-light bulb; slit lamp"
omw-en31-06646883-n,i71348,n,omw-en31-06611268-n,information,інформація,інформація,інформація,"information, info",отримане та зрозуміле повідомлення,a message received and understood,"message, content, subject matter, substance","ammunition; factoid; misinformation; material; details, inside information; fact; format, formatting, data format, data formatting; gen; database; news, intelligence, tidings, word; news; nuts and bolts; intelligence, intelligence information; update; confirmation; insider information; secret, arcanum; secret; propaganda; course of study, program, programme, curriculum, syllabus; news; evidence; readout, read-out; tabulation, tabular matter; skinny; stuff; report card, report"
omw-en31-06492991-n,i70513,n,omw-en31-06611268-n,list,список,список,"список, лістинг","list, listing","база даних, що містить впорядкований масив елементів (назви або теми)",a database containing an ordered array of items (names or topics),database,"agenda, agendum, order of business; A-list; bibliography; bill; blacklist, black book, shitlist; calendar; calorie chart; canon; catalog, catalogue; character set; chart; checklist; class list, honours list; codex; contents, table of contents; corrigenda; credits; criminal record, record; directory; distribution list; enumeration, numbering; FAQ; free list; grocery list, shopping list; hit list; hit parade; index; key; key; inventory, stock list; mailing list; masthead, flag; menu, computer menu; necrology; playlist, play list; portfolio; posting; price list; push-down list, push-down stack, stack; queue; roll, roster; schedule; shopping list; short list, shortlist; sick list; slate, ticket; standing; wish list"
omw-en31-06498711-n,i70537,n,omw-en31-06611268-n,bill,рахунок,рахунок,"рахунок, законопроект",bill,перелік деталей (як афіша або тариф),a list of particulars (as a playbill or bill of fare),"list, listing","bill of entry; bill of goods; menu, bill of fare, card, carte du jour, carte; playbill"
omw-en31-10441701-n,i91988,n,omw-en31-10045455-n,philanthropist,філантроп,філантроп,"благодійник, альтруїст, філантроп","philanthropist, altruist","той, хто робить благодійні пожертви, спрямовані на підвищення добробуту людини",someone who makes charitable donations intended to increase human well-being,"donor, giver, presenter, bestower, conferrer","Carnegie, Andrew Carnegie; Cooper, Peter Cooper; Cornell, Ezra Cornell; Guggenheim, Solomon Guggenheim; Harvard, John Harvard; Hershey, Milton Snavely Hershey; Hopkins, Johns Hopkins; Mellon, Andrew Mellon, Andrew W. Mellon, Andrew William Mellon; Nobel, Alfred Nobel, Alfred Bernhard Nobel; Nuffield, William Richard Morris, First Viscount Nuffield; Rockefeller, John D. Rockefeller, John Davison Rockefeller; Vanderbilt, Cornelius Vanderbilt, Commodore Vanderbilt; Yale, Elihu Yale"
omw-en31-08294726-n,i80640,n,omw-en31-08293641-n,academy,академія,академія,Академія,academy,школа спеціальної підготовки,a school for special training,school,"yeshiva, yeshivah; police academy; military academy; naval academy; air force academy; Plato's Academy"
omw-en31-08296586-n,i80652,n,omw-en31-08293641-n,naval academy,військово-морська академія,військово-морська академія,"морська академія, Військово-морська академія",naval academy,академія для підготовки морських офіцерів,an academy for training naval officers,academy,"United States Naval Academy, US Naval Academy"
omw-en31-09787123-n,i88071,n,omw-en31-09784701-n,actress,актриса,актриса,Актриса,actress,жінка -актор,a female actor,"actor, histrion, player, thespian, role player","leading lady; starlet; tragedienne; Ball, Lucille Ball; Bankhead, Tallulah Bankhead; Barrymore, Georgiana Barrymore, Georgiana Emma Barrymore; Barrymore, Ethel Barrymore; Bergman, Ingrid Bergman; Bernhardt, Sarah Bernhardt, Henriette Rosine Bernard; Black, Shirley Temple Black, Shirley Temple; Cornell, Katherine Cornell; Crawford, Joan Crawford; Davis, Bette Davis; Dietrich, Marlene Dietrich, Maria Magdalene von Losch; Duse, Eleonora Duse; Fonda, Jane Fonda; Fontanne, Lynn Fontanne; Garbo, Greta Garbo, Greta Louisa Gustafsson; Garland, Judy Garland; Gish, Lillian Gish; Harlow, Jean Harlow, Harlean Carpenter; Hayes, Helen Hayes; Hepburn, Katharine Hepburn, Katharine Houghton Hepburn; Horne, Lena Horne, Lena Calhoun Horne; Jackson, Glenda Jackson; Kelly, Grace Kelly, Grace Patricia Kelly, Princess Grace of Monaco; Langtry, Lillie Langtry, Jersey Lillie, Emilie Charlotte le Breton; Lawrence, Gertrude Lawrence; Le Gallienne, Eva Le Gallienne; Leigh, Vivien Leigh; Lillie, Beatrice Lillie, Lady Peel; Loren, Sophia Loren, Sofia Scicolone; Martin, Mary Martin; Mercouri, Melina Mercouri, Anna Amalia Mercouri; Monroe, Marilyn Monroe, Norma Jean Baker; Nazimova, Alla Nazimova; Pickford, Mary Pickford, Gladys Smith; Rogers, Ginger Rogers, Virginia McMath, Virginia Katherine McMath; Shearer, Moira Shearer; Siddons, Sarah Siddons, Sarah Kemble Siddons; Skinner, Cornelia Otis Skinner; Streep, Meryl Streep; Streisand, Barbra Streisand, Barbra Joan Streisand; Swanson, Gloria Swanson, Gloria May Josephine Svensson; Tandy, Jessica Tandy; Taylor, Elizabeth Taylor; Terry, Dame Ellen Terry, Dame Alice Ellen Terry; Thorndike, Dame Sybil Thorndike; Waters, Ethel Waters; West, Mae West; Wood, Natalie Wood; Young, Loretta Young"
omw-en31-02743769-n,i50163,n,omw-en31-03965995-n,armor plate,бронеплита,броньовий лист,"броня, пластинчаста броня, панцирна броня","armor plate, armour plate, armor plating, plate armor, plate armour","спеціально загартована сталева пластина, що використовується для захисту фортифікаційних споруд або транспортних засобів від ворожого вогню",specially hardened steel plate used to protect fortifications or vehicles from enemy fire,"plate, scale, shell","backplate; beaver; brassard; breastplate, aegis, egis; cannon; chanfron, chamfron, testiere, frontstall, front-stall; cubitiere; cuisse; epauliere; fauld; gorget; greave, jambeau; helmet; knee piece; nosepiece; pallette, palette; roundel; skirt of tasses; solleret, sabaton; tasset, tasse; tuille; visor, vizor"
omw-en31-02954068-n,i51448,n,omw-en31-03965995-n,cannon,гармата,гармата,Гармата,cannon,(Середньовіччя) циліндричний шматок броні пластини для захисту руки,(Middle Ages) a cylindrical piece of armor plate to protect the arm,"armor plate, armour plate, armor plating, plate armor, plate armour","rerebrace, upper cannon; vambrace, lower cannon"
omw-en31-13166221-n,i105726,n,omw-en31-13165571-n,vinifera,виноградна лоза,виноград,"виноград винограду, виноград вініфера, виніфера, вініфера","vinifera, vinifera grape, common grape vine, Vitis vinifera","звичайний європейський виноград, культивований у багатьох сортах",common European grape cultivated in many varieties; chief source of Old World wine and table grapes,"grape, grapevine, grape vine","Chardonnay, chardonnay grape; Pinot, Pinot grape; Sauvignon grape; Cabernet Sauvignon grape; Sauvignon blanc; Merlot; Muscadet; Riesling; Zinfandel; Chenin blanc; malvasia; muscat, muskat; Verdicchio"
omw-en31-09574485-n,i86858,n,omw-en31-09528550-n,Greek deity,Грецьке божество,Грецьке божество,Грецьке божество,Greek deity,"божество, якому поклонялися стародавні греки",a deity worshipped by the ancient Greeks,"deity, divinity, god, immortal","Grace; satyr, forest god; silenus; Olympian, Olympic god; Aeolus; Aether; Apollo, Phoebus, Phoebus Apollo; Aphrodite, Cytherea; Ares; Eris; Thanatos; Nyx; Artemis, Cynthia; Boreas; Ate; Athena, Athene, Pallas, Pallas Athena, Pallas Athene; Chaos; Demeter; Dionysus; Doris; Erebus; Eros; Gaea, Gaia, Ge; Hebe; Helios; Hecate; Hephaestus, Hephaistos; Hermes; Hermaphroditus; Hygeia; Panacea; Hera, Here; Hestia; Hymen; Minos; Ariadne; Moirai, Moirae; Clotho, Klotho; Lachesis; Atropos; Momus, Momos; Muse; Nemesis; Nereus; Nike; Ouranos, Uranus; Pan, goat god; Pasiphae; Pontus, Pontos; Poseidon; Proteus; Persephone, Despoina, Kore, Cora; Phaethon; Hades, Aides, Aidoneus; Pythia, Pythoness; Rhadamanthus; Selene; Eos; Titan; Titaness; Triton; Tyche; Zephyr; Zeus"
omw-en31-09596003-n,i86971,n,omw-en31-09528550-n,Titaness,Титаніда.,Титаніда,"Титанка, Титанеса",Titaness,"(грецька міфологія) будь-яка з первісних гігантських богинь, які були нащадками Урана (неба) і Геї (землі) у стародавній міфології",(Greek mythology) any of the primordial giant goddesses who were offspring of Uranus (heaven) and Gaea (earth) in ancient mythology,Greek deity,"Thea, Theia; Rhea; Themis; Mnemosyne; Phoebe; Tethys"
omw-en31-09972018-n,i89150,n,omw-en31-10359679-n,conductor,водій,диригент,"режисер, диригент, музичний керівник","conductor, music director, director","людина, яка очолює музичний гурт",the person who leads a musical group,musician,"bandleader; bandmaster; drum major; drum majorette, majorette; Bernstein, Leonard Bernstein; Britten, Benjamin Britten, Edward Benjamin Britten, Lord Britten of Aldeburgh; Fiedler, Arthur Fiedler; Hindemith, Paul Hindemith; Koussevitzky, Serge Koussevitzky, Sergei Aleksandrovich Koussevitzky; Lambert, Constant Lambert, Leonard Constant Lambert; Mahler, Gustav Mahler; Ormandy, Eugene Ormandy; Ozawa, Seiji Ozawa; Stokowski, Leopold Stokowski, Leopold Antoni Stanislaw Stokowski; Szell, George Szell; Toscanini, Arturo Toscanini; Walter, Bruno Walter; Weber, Carl Maria von Weber, Baron Karl Maria Friedrich Ernst von Weber; Wood, Sir Henry Wood, Sir Henry Joseph Wood"
omw-en31-09856589-n,i88442,n,omw-en31-10359679-n,bandleader,Керівник гурту,bandleader,"керівник, Лідер гурту",bandleader,керівник танцювального оркестру,the leader of a dance band,"conductor, music director, director","Goodman, Benny Goodman, Benjamin David Goodman, King of Swing; Herman, Woody Herman, Woodrow Charles Herman; Miller, Glenn Miller, Alton Glenn Miller; Shaw, Artie Shaw, Arthur Jacob Arshawsky"
